RUNE,SHIELD,EAGLE,EAGLE,RUNE
SHIELD,SHIELD,SHIELD,EAGLE,HELMET
CHEST,SHIELD,HELMET,SHIELD,HELMET
EAGLE,SHIELD,KRONOS_SMALL,KRONOS_SMALL,PEGASUS
SHIELD,HELMET,CHEST,PEGASUS,KRONOS_SMALL
PEGASUS,RUNE,SHIELD,HELMET,RUNE
EAGLE,EAGLE,RUNE,HELMET,KRONOS_SMALL
RUNE,SHIELD,EAGLE,PEGASUS,RUNE
HELMET,KRONOS_SMALL,RUNE,RUNE,EAGLE
HELMET,HELMET,CHEST,SHIELD,HELMET
RUNE,RUNE,PEGASUS,SHIELD,SHIELD
RUNE,RUNE,RUNE,RUNE,RUNE
HELMET,SHIELD,EAGLE,HELMET,HELMET
SHIELD,HELMET,HELMET,SHIELD,PEGASUS
WILD,WILD,WILD,WILD,WILD
WILD,RUNE,CHEST,HELMET,PEGASUS
WILD,EAGLE,HELMET,HELMET,SHIELD
PEGASUS,RUNE,HELMET,KRONOS_SMALL,CHEST
CHEST,PEGASUS,CHEST,KRONOS_SMALL,RUNE
KRONOS_SMALL,CHEST,HELMET,RUNE,SHIELD
KRONOS_SMALL,SHIELD,SHIELD,RUNE,SHIELD
KRONOS_SMALL,EAGLE,SHIELD,HELMET,HELMET
RUNE,PEGASUS,SHIELD,RUNE,KRONOS_SMALL
HELMET,SHIELD,HELMET,RUNE,HELMET
CHEST,SHIELD,HELMET,RUNE,HELMET
SHIELD,HELMET,SHIELD,SHIELD,PEGASUS
SHIELD,KRONOS_SMALL,SHIELD,SHIELD,KRONOS_SMALL
RUNE,HELMET,RUNE,CHEST,EAGLE
HELMET,SHIELD,HELMET,PEGASUS,RUNE
EAGLE,PEGASUS,RUNE,CHEST,CHEST
EAGLE,KRONOS_SMALL,SHIELD,EAGLE,EAGLE
WILD,KRONOS_SMALL,HELMET,KRONOS_SMALL,HELMET
WILD_SURGE,KRONOS_SMALL,KRONOS_SMALL,EAGLE,PEGASUS
WILD,KRONOS_SMALL,CHEST,EAGLE,PEGASUS
WILD,KRONOS_SMALL,RUNE,KRONOS_SMALL,RUNE
WILD,RUNE,HELMET,SHIELD,HELMET
KRONOS_SMALL,EAGLE,HELMET,RUNE,SHIELD
RUNE,SHIELD,HELMET,KRONOS_SMALL,SHIELD
PEGASUS,SHIELD,EAGLE,RUNE,RUNE
SHIELD,HELMET,SHIELD,SHIELD,SHIELD
KRONOS_SMALL,SHIELD,RUNE,SHIELD,RUNE
SHIELD,KRONOS_SMALL,EAGLE,PEGASUS,HELMET
RUNE,EAGLE,RUNE,PEGASUS,KRONOS_SMALL
HELMET,PEGASUS,PEGASUS,WILD_EAGLE,SHIELD
RUNE,SHIELD,KRONOS_SMALL,WILD,RUNE
EAGLE,HELMET,CHEST,WILD,HELMET
HELMET,RUNE,SHIELD,WILD,KRONOS_SMALL
SHIELD,SHIELD,SHIELD,SHIELD,PEGASUS
HELMET,HELMET,SHIELD,RUNE,SHIELD
SHIELD,RUNE,PEGASUS,CHEST,RUNE
SHIELD,KRONOS_SMALL,RUNE,RUNE,KRONOS_SMALL
SHIELD,SHIELD,KRONOS_SMALL,SHIELD,RUNE
HELMET,RUNE,PEGASUS,SHIELD,HELMET
SHIELD,SHIELD,KRONOS_SMALL,SHIELD,SHIELD
WILD,WILD,WILD,WILD,WILD_HAMMER
RUNE,KRONOS_SMALL,HELMET,RUNE,HELMET
PEGASUS,RUNE,KRONOS_SMALL,SHIELD,SHIELD
HELMET,RUNE,RUNE,RUNE,HELMET
PEGASUS,KRONOS_SMALL,KRONOS_SMALL,SHIELD,EAGLE
RUNE,CHEST,PEGASUS,HELMET,HELMET
HELMET,RUNE,RUNE,RUNE,EAGLE
SHIELD,WILD,PEGASUS,SHIELD,EAGLE
RUNE,WILD,HELMET,KRONOS_SMALL,KRONOS_SMALL
SHIELD,WILD,SHIELD,RUNE,EAGLE
HELMET,WILD_EAGLE,SHIELD,RUNE,KRONOS_SMALL
RUNE,SHIELD,HELMET,PEGASUS,HELMET
HELMET,HELMET,WILD,KRONOS_SMALL,WILD
HELMET,SHIELD,WILD,RUNE,WILD
RUNE,SHIELD,WILD,RUNE,WILD
RUNE,EAGLE,RUNE,SCATTER,WILD
RUNE,SHIELD,RUNE,SHIELD,WILD
CHEST,HELMET,SHIELD,SHIELD,HELMET
EAGLE,SHIELD,SHIELD,KRONOS_SMALL,SHIELD
RUNE,RUNE,RUNE,HELMET,RUNE
HELMET,EAGLE,RUNE,RUNE,SHIELD
PEGASUS,SCATTER,PEGASUS,PEGASUS,PEGASUS
HELMET,RUNE,SHIELD,KRONOS_SMALL,EAGLE
HELMET,PEGASUS,SHIELD,HELMET,SHIELD
SHIELD,RUNE,SHIELD,HELMET,PEGASUS
KRONOS_SMALL,HELMET,RUNE,CHEST,RUNE
RUNE,SHIELD,HELMET,PEGASUS,SHIELD
SHIELD,SHIELD,HELMET,HELMET,EAGLE
HELMET,KRONOS_SMALL,SHIELD,SHIELD,WILD
PEGASUS,KRONOS_SMALL,HELMET,RUNE,SHIELD
RUNE,HELMET,RUNE,KRONOS_SMALL,RUNE
SHIELD,EAGLE,EAGLE,PEGASUS,KRONOS_SMALL
PEGASUS,KRONOS_SMALL,KRONOS_SMALL,RUNE,RUNE
SHIELD,CHEST,WILD,SHIELD,SCATTER
EAGLE,RUNE,WILD,HELMET,RUNE
HELMET,HELMET,WILD,HELMET,SHIELD
EAGLE,RUNE,SHIELD,RUNE,SHIELD
SHIELD,RUNE,RUNE,HELMET,RUNE
EAGLE,SHIELD,HELMET,HELMET,EAGLE
KRONOS_SMALL,CHEST,SHIELD,WILD,HELMET
PEGASUS,RUNE,RUNE,HELMET,EAGLE
RUNE,KRONOS_SMALL,SHIELD,HELMET,SHIELD
SHIELD,HELMET,HELMET,KRONOS_SMALL,RUNE
RUNE,HELMET,SHIELD,RUNE,RUNE
HELMET,RUNE,RUNE,HELMET,CHEST
SHIELD,RUNE,EAGLE,SHIELD,HELMET
EAGLE,SHIELD,SHIELD,SHIELD,SHIELD
CHEST,SHIELD,RUNE,EAGLE,SHIELD
SHIELD,RUNE,SCATTER,RUNE,HELMET
EAGLE,HELMET,SHIELD,KRONOS_SMALL,WILD_EAGLE
HELMET,RUNE,EAGLE,HELMET,WILD
HELMET,RUNE,HELMET,KRONOS_SMALL,WILD
SHIELD,PEGASUS,SHIELD,CHEST,WILD
SHIELD,SHIELD,SCATTER,SHIELD,WILD_SURGE
RUNE,RUNE,RUNE,HELMET,RUNE
RUNE,RUNE,SHIELD,RUNE,EAGLE
HELMET,SHIELD,PEGASUS,SHIELD,PEGASUS
PEGASUS,HELMET,SHIELD,RUNE,HELMET
KRONOS_SMALL,PEGASUS,HELMET,RUNE,EAGLE
PEGASUS,HELMET,RUNE,SHIELD,RUNE
SCATTER,RUNE,SHIELD,HELMET,RUNE
HELMET,PEGASUS,SHIELD,SHIELD,KRONOS_SMALL
EAGLE,SHIELD,SHIELD,SCATTER,EAGLE
RUNE,RUNE,RUNE,SHIELD,EAGLE
HELMET,SHIELD,RUNE,HELMET,HELMET
CHEST,HELMET,RUNE,SHIELD,RUNE
HELMET,RUNE,PEGASUS,PEGASUS,EAGLE
SHIELD,KRONOS_SMALL,HELMET,KRONOS_SMALL,EAGLE
PEGASUS,SHIELD,RUNE,SCATTER,SHIELD
RUNE,KRONOS_SMALL,CHEST,HELMET,EAGLE
HELMET,HELMET,HELMET,SHIELD,RUNE
EAGLE,SCATTER,HELMET,HELMET,RUNE
PEGASUS,HELMET,HELMET,SHIELD,HELMET
PEGASUS,RUNE,RUNE,KRONOS_SMALL,PEGASUS
HELMET,SHIELD,EAGLE,SHIELD,EAGLE
CHEST,SHIELD,SHIELD,RUNE,SHIELD
WILD,WILD,WILD,WILD,WILD
RUNE,HELMET,HELMET,HELMET,SHIELD
SHIELD,KRONOS_SMALL,WILD,HELMET,SHIELD
HELMET,SCATTER,CHEST,EAGLE,HELMET
RUNE,KRONOS_SMALL,KRONOS_SMALL,SHIELD,RUNE
HELMET,RUNE,EAGLE,SHIELD,EAGLE
SHIELD,RUNE,HELMET,RUNE,SHIELD
EAGLE,HELMET,RUNE,RUNE,SHIELD
EAGLE,RUNE,EAGLE,SHIELD,HELMET
WILD,SHIELD,PEGASUS,RUNE,HELMET
CHEST,PEGASUS,PEGASUS,RUNE,PEGASUS
SHIELD,SHIELD,SHIELD,SHIELD,EAGLE
RUNE,SHIELD,CHEST,SHIELD,KRONOS_SMALL
CHEST,HELMET,RUNE,KRONOS_SMALL,HELMET
SHIELD,HELMET,HELMET,PEGASUS,SHIELD
KRONOS_SMALL,RUNE,SHIELD,PEGASUS,KRONOS_SMALL
SHIELD,PEGASUS,EAGLE,EAGLE,RUNE
SHIELD,RUNE,EAGLE,KRONOS_SMALL,RUNE
SHIELD,SHIELD,HELMET,PEGASUS,SHIELD
HELMET,RUNE,RUNE,PEGASUS,HELMET
SHIELD,EAGLE,HELMET,EAGLE,RUNE
RUNE,KRONOS_SMALL,RUNE,SHIELD,PEGASUS
SHIELD,RUNE,RUNE,HELMET,RUNE
RUNE,KRONOS_SMALL,HELMET,SHIELD,RUNE
WILD,SHIELD,KRONOS_SMALL,RUNE,CHEST
SHIELD,HELMET,HELMET,SHIELD,EAGLE
RUNE,RUNE,SHIELD,SHIELD,SHIELD
RUNE,RUNE,CHEST,RUNE,RUNE
